Order_ID,Order_Date,Customer_Name,Category,Product,Region,Quantity,Sales,Profit
ORD1001,2025-02-01,Customer 140,Electronics,Laptop,East,6,279774.11,58781.06
ORD1002,2025-12-23,Customer 103,Electronics,Laptop,East,4,204884.96,42006.44
ORD1003,2025-10-13,Customer 129,Electronics,Headphones,North,4,13457.35,2891.63
ORD1004,2025-06-11,Customer 178,Electronics,Headphones,East,4,12854.4,2427.18
ORD1005,2025-09-13,Customer 071,Electronics,Headphones,East,6,21829.49,4432.83
ORD1006,2025-11-22,Customer 073,Electronics,Keyboard,North,4,10835.15,1772.9
ORD1007,2025-12-03,Customer 149,Furniture,Desk,North,1,12996.16,2570.81
ORD1008,2025-04-29,Customer 160,Electronics,Keyboard,East,3,7208.53,1318.22
ORD1009,2025-07-26,Customer 134,Furniture,Desk,West,1,14394.32,2387.78
ORD1010,2025-10-31,Customer 154,Furniture,Desk,West,2,30742.31,5283.55
ORD1011,2025-03-29,Customer 137,Furniture,Desk,South,6,84063.19,14306.12
ORD1012,2025-03-14,Customer 157,Electronics,Smartphone,South,6,145727.68,29886.52
ORD1013,2025-07-04,Customer 114,Furniture,Desk,East,5,78605.86,14316.02
ORD1014,2025-02-11,Customer 172,Electronics,Smartphone,South,2,59879.69,10956.59
ORD1015,2025-02-03,Customer 112,Electronics,Laptop,West,6,296518.42,55968.02
ORD1016,2025-01-12,Customer 056,Electronics,Monitor,North,5,107911.67,17807.68
ORD1017,2025-11-09,Customer 057,Electronics,Keyboard,West,6,13802.73,2126.74
ORD1018,2025-08-30,Customer 200,Furniture,Sofa,South,4,142395.35,29172.94
ORD1019,2025-05-03,Customer 005,Furniture,Desk,East,3,47597.97,7696.03
ORD1020,2025-09-21,Customer 181,Electronics,Laptop,South,6,281740.5,45441.65
ORD1021,2025-03-02,Customer 077,Electronics,Keyboard,East,2,5294.48,959.52
ORD1022,2025-08-19,Customer 069,Electronics,Monitor,East,5,105439.82,16462.9
ORD1023,2025-06-16,Customer 054,Electronics,Monitor,West,7,172876.43,34398.87
ORD1024,2025-10-12,Customer 148,Electronics,Keyboard,North,2,5325.34,966.31
ORD1025,2025-09-14,Customer 041,Electronics,Laptop,South,1,53237.08,9684.06
ORD1026,2025-07-31,Customer 004,Electronics,Monitor,West,6,119200.2,25027.63
ORD1027,2025-02-21,Customer 117,Furniture,Desk,East,6,85227.63,16526.63
ORD1028,2025-01-31,Customer 036,Furniture,Chair,North,5,31679.12,4844.15
ORD1029,2025-03-05,Customer 118,Electronics,Smartphone,West,3,76382.05,12010.18
ORD1030,2025-12-04,Customer 123,Electronics,Smartphone,South,3,87579.22,15263.38
ORD1031,2025-06-20,Customer 157,Furniture,Sofa,East,1,39814.87,7316.43
ORD1032,2025-06-27,Customer 033,Electronics,Laptop,South,2,94735.15,20429.43
ORD1033,2025-07-18,Customer 105,Furniture,Table,West,4,44644.45,7732.86
ORD1034,2025-01-08,Customer 109,Furniture,Desk,East,2,31838.74,6773.1
ORD1035,2025-02-13,Customer 057,Electronics,Monitor,East,4,77666.4,15304.69
ORD1036,2025-09-23,Customer 123,Furniture,Chair,West,6,42143.18,6639.32
ORD1037,2025-07-19,Customer 075,Electronics,Keyboard,North,2,4306.12,813.17
ORD1038,2025-10-23,Customer 127,Electronics,Headphones,North,4,13231.98,2867.41
ORD1039,2025-03-07,Customer 033,Furniture,Chair,South,4,24096.53,5193.36
ORD1040,2025-06-08,Customer 019,Electronics,Laptop,South,3,163549.06,34740.67
ORD1041,2025-06-21,Customer 064,Electronics,Headphones,East,7,27391.83,5103.65
ORD1042,2025-08-30,Customer 148,Furniture,Bookshelf,South,3,20204.04,3164.21
ORD1043,2025-01-12,Customer 025,Electronics,Monitor,East,2,49765.93,8304.34
ORD1044,2025-02-25,Customer 144,Electronics,Headphones,West,7,22142.62,4250.43
ORD1045,2025-04-27,Customer 195,Electronics,Laptop,North,2,89594.22,18314.7
ORD1046,2025-02-22,Customer 056,Furniture,Table,East,4,41000.68,6809.23
ORD1047,2025-12-05,Customer 139,Electronics,Laptop,West,5,210555.57,39046.08
ORD1048,2025-03-14,Customer 017,Furniture,Table,South,3,39284.54,7859.99
ORD1049,2025-01-30,Customer 080,Electronics,Headphones,West,1,3104.94,667.34
ORD1050,2025-06-28,Customer 105,Electronics,Monitor,North,1,23074.9,5004.8
ORD1051,2025-02-24,Customer 127,Electronics,Keyboard,West,7,15005.51,2834.0
ORD1052,2025-02-21,Customer 034,Electronics,Smartphone,South,6,166850.56,36312.73
ORD1053,2025-08-20,Customer 157,Electronics,Smartphone,West,7,217716.0,39780.35
ORD1054,2025-02-09,Customer 093,Electronics,Laptop,East,5,260971.79,53702.04
ORD1055,2025-10-02,Customer 121,Electronics,Monitor,North,4,90798.82,19135.1
ORD1056,2025-05-17,Customer 193,Furniture,Desk,West,1,14177.59,2773.64
ORD1057,2025-12-30,Customer 150,Furniture,Sofa,West,4,129409.26,21555.23
ORD1058,2025-02-08,Customer 072,Electronics,Headphones,East,7,21314.21,4084.02
ORD1059,2025-12-01,Customer 185,Electronics,Smartphone,South,6,161270.17,25814.68
ORD1060,2025-04-14,Customer 109,Electronics,Smartphone,East,2,51076.79,8074.44
ORD1061,2025-06-06,Customer 119,Furniture,Bookshelf,South,1,6316.75,971.12
ORD1062,2025-05-24,Customer 148,Furniture,Chair,West,6,36870.5,6832.72
ORD1063,2025-11-21,Customer 048,Furniture,Bookshelf,East,6,36247.79,5897.69
ORD1064,2025-07-28,Customer 002,Furniture,Sofa,North,5,170603.78,26178.77
ORD1065,2025-02-08,Customer 011,Electronics,Keyboard,North,4,8805.02,1834.46
ORD1066,2025-02-06,Customer 048,Electronics,Keyboard,West,5,13788.41,2939.49
ORD1067,2025-08-13,Customer 156,Electronics,Monitor,South,6,143067.31,27894.38
ORD1068,2025-07-15,Customer 167,Electronics,Smartphone,North,6,171729.63,36068.38
